text,class
"How much is a large tea needle, one tea knife and two tea knives? ",yes
 What flavor are you shooting immediately. ,yes
 What do you want to send? Is it through express? ,yes
 Can you send Zhongtong Express? ,yes
"I want to ask if the baby I bought has shipping charges, but the total amount is over 200.",yes
How much is the black sandalwood tea knife wholesale. ,yes
 How much do you want. ,yes
 There are three red sandalwood tea knives each. ,yes
" My salt, pepper and salt are out of stock tomorrow.",yes
 The one I bought last time The blade is perfect. This knife is not good and there are cracks. Replace it with a good one. ,yes
 Do you need to add money for the gift box. ,yes
 can only be paid on delivery. ,yes
 How much does it cost on delivery. Designated express other than the default express. ,yes
 I bought 3 boxes. Can you send it together? It's also 80. ,yes
 Add to cart. ,yes
 Is this available?,yes
 What should I use to cut square brick Pu'er. ,yes
 Tea needles are easy to warp and won't damage the tea. The advantage of using a tea knife is to pry it The lumps should be larger and not easy to break. It depends on the use of kisses. ,yes
" If you are not very good at driving, is it better for me to buy a tea knife. ",yes
" I will buy more when there is an event next time. It is good to introduce friends over. Help me send the original flavor, I'm too lazy to wait so long. Next time I will ask for the original flavor of cream. ",yes
 The price of the original flavor is different.,yes
The price is a lot. ,yes
 I didn't send it last time to make up for it. Last time I bought 80 and smoked 10 packs. ,yes
 The price really can't be negotiated again. The guest officer gave you a discount of 8. It's already my best effort. I'm really sorry. Then I took a picture and you help me change the price. ,yes
 Is this for wet and dry use?,yes
 Do you have raw walnuts. ,yes
I want to buy a pack of SHOPNAME. Why is the price much more expensive than my last one? I bought it here. ,yes
 This double 11 is still cheaper. ,yes
"Send it to me tomorrow, okay, I want it on Thursday. ",yes
 may not be available. ,yes
" The quality is the same, but the size is different. ",yes
 Does pure cotton become smaller after absorbing water?,yes
 The price is about the same. ,yes
 Is the coupon invalid?,yes
 Is this dried strawberry packaged in an independent small package? 3 bags of 199 yuan? Good. ,yes
 How much is a pack. ,yes
 What year is the validity period. ,yes
 Is the production date this year? ,yes
 SHOPNAME baby wipes baby hand and mouth wipes cotton soft wipes paper fragrance-free 25 packs 12 packs Click on the link and select the browser to open. ,yes
" This walnut is not thick skinned, right?",yes
 How much is the minimum price. ,yes
" The price of the pro-order has been changed and you can pay
",yes
 How many grams are in a bag of almonds. ,yes
 Are there any other gifts. ,yes
 tea knife I added to the shopping cart,yes
 532789117161 Add this shipping fee to calculate it together. ,yes
 Is there anything that can help you? Dear. ,yes
 How can I add hand sanitizer. ,yes
 Do you have anything delicious here?,yes
 I will go back and buy them all and try them out to see if they taste good. ,yes
 Are these two products the same?,yes
This is the third time that I have bought lemon slices at your home. ,yes
 Buy two and get 10 packs. ,yes
" Is it right to send 5 pieces of wet wipes individually. Ok, is there any difference between this one and the other one in your store with the same price. ",yes
" I heard from a friend that this cotton towel is easy to use, so I placed the order without asking.",yes
 Is a bag of 5 jin? Is the gift box just enough to fit a bag. ,yes
 can you buy more cheap. ,yes
 528105689823 Is this a one minute ago to buy two and get 10 off or can you buy 4 and get 20 off regardless of the time? Can you use the coupon at the same time. ,yes
 2 copies will automatically get 10 off Not to be shared with other offers. ,yes
 pro Different products are different in price.,yes
 528105689823 What is the difference between these two. ,yes
 May I ask if the tea knife is easy to use or the tea needle is easy to use. The advantage is that the block should be bigger and not easy to break. It depends on the usage of the guest officer. ,yes
" I am going to pay half price for the second piece, but I didn't see the system change the price of pine nuts 239 for the second If it's half price, is it 12? ",yes
 I want to buy this together with others. ,yes
 Do you have low-sugar or sugar-free bean paste filling? ,yes
Can it be shipped today. ,yes
 Three bags. Guaranteed period of 10 months at a loss for sales promotion. ,yes
 that 6 packs are still cost-effective. ,yes
 plant fiber Isn't it cotton? ,yes
 Can't you pay that price? ,yes
 It is urgent to buy it for others. ,yes
 Cotton swabs send the same style. ,yes
 is two boxes of cotton swabs for the price of three. ,yes
" may not be enough, we have to send it first The previous order has been sent out. ",yes
 Is it still there? ,yes
 I bought the licorice with the flavor of the plum flavor. ,yes
"Yes, I like the licorice you posted. ",yes
" This one is okay. You can place an order. Generally, small shops in the area offer free shipping. ",yes
 Take two copies and send two packs. send new address,yes
" I bought the soft cotton one before. This time I bought the non-woven one. The two materials are different. If you don't want to use the unsplit one, you can return it. ",yes
" Well, I just bought it after reading the comments. ",yes
" Hello, the walnuts I bought are not good. of . ",yes
 538405926243 Is this in stock?,yes
 where is the coupon. ,yes
 I bought it on the 18th and it is still collecting on the 22nd today. ,yes
 My mother and I both love to eat your youth league. This is the third or fourth time I have bought a youth league with egg yolk and meat floss. You can tell me. I hope the boss will sell it well. ,yes
" I have bought more than ten boxes of the two brands, I just want to buy less to eat",yes
 Can you give me a discount. Is ,yes
 Isn't it buy five get one free?,yes
 The one I took is the right one. ,yes
 What is plant fiber. ,yes
 Are you there?,yes
 I can get two coupons of 20 yuan. Do I have to place an order separately. ,yes
 How many packs and five packs are there in one box? ,yes
" Mainly because I'm afraid the salt and pepper will not taste good. Open the bag, will you refund it? If it tastes good, of course I won't refund it. Why did Huaian send it to Lianyungang? ",yes
Do walnuts only have two flavors of cream and salt and pepper? ,yes
 Does it have the original flavor? Thank you. ,yes
" I know I want creamy ones, get me six bags I want fresh, I want seven bags, and I will take the packaging immediately. Be careful not to open the bag. The bag is broken, so I can't give it away. ",yes
" If you buy 3 boxes, do you also get one box for free?",yes
" There are only 7 pieces, send me two more boxes. ",yes
 There should be one more order. yeah. ,yes
What is the price now. ,yes
 is long. I bought it for more than 34 yuan a few times before. ,yes
The one I bought today will be sent to you later to see if I am looking for you. ,yes
 You can add it to the shopping cart and submit it to the shopping cart. ,yes
Hello. I bought 279 before ,yes
", how come the price has increased. ",yes
 Are these wipes pure cotton or non-woven. ,yes
 Is this the one? I can't remember. ,yes
 You don't need to fill in the waybill. I have to fill in the waybill and the address when returning things. ,yes
 Just tell the second one with the order number. ,yes
" Let's go through the normal procedure, you agree on it, and then I will fill in the agreement on it, and it's not money to push me directly. ",yes
 before buying this is 199 yuan three packs now how to increase the price,yes
 45471763191 What is the difference between these two? Are they both? ,yes
 What is the difference between this one and the other one. ,yes
 Does this come in twelve packs? ,yes
 I used a tea needle to prick my hand last time,yes
" The combination has 3 bags, 2 bags of candied dates, and 1 bag of meat. ",yes
 Can receive the goods in a few days. ,yes
" Kisses are shipped together, but the logistics may have a sequence in the transportation process. ",yes
 The red orders selected are all black. ,yes
 The package is too small and not suitable for return. I'm having trouble waiting. ,yes
 The dried durian is ok. ,yes
 It feels almost the same. I have already added it to the shopping cart. You are very close in Jiaxing. ,yes
 Then I will come and get you and charge me a little cheaper.,yes
 What material is the non-woven fabric and which is better than pure cotton. ,yes
 The softness of the non-woven fabric is worse than that of pure cotton Slightly better. ,yes
Then there is no discount. I bought more than 20 boxes at your house. Can you ship it to me today. ,yes
 528941799061 What is the difference between these two? Aren't they both large sizes. ,yes
 I can see your difference,yes
" is there, what can I do to help you. ",yes
 Many of my friends buy things at your house. ,yes
 I bought this thing and didn't receive it for more than half a month,yes
 Can you give me some discount for buying these three items. ,yes
 I suggest to get a store coupon ha. of,yes
Then I will come with 36 packs. ,yes
" I received what I bought a few days ago, but I remember buying 199 to send saliva Towel. ",yes
 I buy 6 Can I send 2 gifts in the bag. ,yes
" Hello, can I ship it today? ",yes
"545468795743 Dear, can I send it today? ",yes
 What price do you want to change. ,yes
 May I ask how many kinds of wet wipes are there. ,yes
"Hello, what is the composition of this wet wipe, pure water or disinfectant. ",yes
 Then I will buy it tomorrow and it will usually take a few days to arrive. ,yes
 What's the difference? It looks and feels the same. ,yes
" Yes, buy 2 sets for free. ",yes
 Is it direct payment. ,yes
" Yes, dear Just pay directly. ",yes
 I'm a little anxious about when the toothbrush will be shipped. ,yes
The quality of the red sandalwood I received is not good. ,yes
" If you want to eat it, you can eat it cold, don't you need to heat it. ",yes
 Can it still be delivered from the Northeast now. ,yes
" The customer pays before 16:00 today, and it will be shipped the same day. If I pay after 16:00, it will be shipped the next day. Take it early and ship it early. ",yes
" is there, what can I do to help you? Then I'll take some other shots to make up 100 yuan, okay?",yes
 free shipping? He didn't put it. ,yes
I didn't see that there is still a socks exchange event. Can I still participate. ,yes
" I'll take some tea towels and take a look at the sample first. If so, I'll get some more. ",yes
 This What is the difference between the two. Is ,yes
 Is there any delivery now. ,yes
Buy 2 get 1 free for Qingtuan. ,yes
 Can I get free shipping if I buy one. ,yes
 Hmmmm There are three packs in the set. ,yes
" If you buy two, will you get five packs of wipes or five wipes?",yes
What about the set of cotton soft towel and cool soap. ,yes
 there? Is it enough for five pounds. ,yes
" Well, I will place an order and send it to me as soon as possible. ",yes
Thank you for changing the price. ,yes
 hello 80 pieces and 12 pieces. ,yes
 Which is suitable for prying Pu'er. ,yes
 Tea needles are easy to warp and will not damage the tea. Some are not easy to break. It depends on the usage of kisses. It is recommended to use a large tea knife. ,yes
 What is the express delivery. 55 catties. ,yes
 Can you help me to see where the goods are. ,yes
 Can you still get a discount? 80 yuan. ,yes
" Because of the raw material and labor costs of the walnut manufacturer Because of the increase, the ex-factory price of the manufacturer has been raised in an all-round way, so the price has been raised to 85 yuan per box from January 10th. I'm sorry. ",yes
 is only raised today. Is ,yes
"Hello, you have received the description product. ",yes
 I forgot to change the address. Can you help me change the address. ,yes
 521521942026. You can engrave your logo on it. No. ,yes
 You have raised my price. The first two times were 81. Now it is 85. ,yes
 is not a discount.,yes
 Pro 6 free shipping. Is ,yes
 Mmmmmm. There are activities in the event. ,yes
" If you want all of them, then I will place an order. ",yes
 How much do you want. ,yes
55 How many packs. ,yes
" After I unpacked the box, I have this open photo left. Look at how to deal with it now. Seven boxes are missing one box. The packaging is not very good. ",yes
 How come there is no refund for so many. ,yes
 Can I receive it tomorrow. ,yes
" Dear, I am from Haikou, can I receive it before I place the order. ",yes
" I bought five catties of cream from the Salt Bureau, a total of ten catties, I placed an order now, can you deliver it now. ",yes
" The things I bought have just been shipped and the express has not been picked up, can I refund one item. ",yes
" My mango should be 4 packs, why 3 packs? I took it twice",yes
"The printing fee is about 300 yuan for one color, and the color printing is 5 colors superimposed, that is, about 300X5, and then the price is calculated by each. The normal price is more than tens of thousands of a variety, depending on the size. ",yes
 Is there a quantity requirement? How much is printed. ,yes
", you can buy it in your home before. ",yes
 It is a box of bean paste and a box of egg yolk and meat floss in one place. ,yes
 This has to be shot separately to be developed separately. ,yes
 But I want two different flavors. ,yes
 I did not receive the goods and did not receive the coupon that day. ,yes
 I have bought 13 packs before and after. ,yes
Is there any event on Chinese Valentine's Day? ,yes
 I'm going to call to intervene,yes
The things I bought here have always been displayed from the headquarters on the 22nd. ,yes
 How many small bags are in this bag. ,yes
" I want 20 tea knives, I can get a discount. ",yes
 help me change the shipping fee and free shipping,yes
 Right. ,yes
" Dear, does this laundry soap have an event? ",yes
 How big is the walnut. ,yes
 Now this wipe is with a cover or without a cover. There are new goods on the left and right. ,yes
Can we deliver it today. ,yes
 Bought for pregnant women. ,yes
How to use 380 yuan shopping coupon Please help me transfer to the person in charge of your company's entry into Gome Online. Thank you. ,yes
 Please modify the refund application and change it to don't want it or something else. ,yes
 What is the net weight?,yes
 I bought 12 tea knives. ,yes
 Is the boss here. ,yes
 Re-shooting without a 5 yuan reduction and shipping. ,yes
 Then you calculate the discount and change the price. Thank you for coming to buy often. ,yes
 Is it new in the whole box? ,yes
 is obviously not the original factory,yes
 My second purchase.,yes
 One piece has half of the egg. ,yes
 What kind of wipes do you buy for two. ,yes
" Hello, what is the difference between so many types in your family. ",yes
" 528105689823 It is dry cotton Soft towel, I want to use it as a face towel. ",yes
 The size of this baby is very big. ,yes
 It is suitable for spring and autumn and not next month due date,yes
It has been added to the shopping cart. ,yes
" Wait a minute, sir, you have used the coupon. This coupon is not used at the same time as the discounted price. ",yes
" Check the quality of each one, otherwise it will affect our future cooperation. What should you do? Cancel the order and re-shoot. ",yes
" If the customer officer wants to make up 10 yuan for you, you can see Is it ok. ",yes
 I bought two tea knives at your house some time ago. Can it be shipped? ,yes
Are there any gift boxes for this? ,yes
 What? Time to do the event. ,yes
 How did you pay for this price? Yes. ,yes
 The pro product has been out of the warehouse. ,yes
 Take me to apply for a refund and re-shoot. ,yes
Do you have a box? ,yes
 Duck eggs don't cost much. ,yes
 How to set up self-collection. Is ,yes
 Is there anything I can help you with. Is ,yes
" Hello, I am in March Received what I bought at your house on the 6th",yes
 Wet and dry towels are packaged in different sizes. ,yes
" Okay, it's fine, the dried mango is delicious. ",yes
" Thank you, dear, for applying for a coupon. ",yes
 Please help me change the postage. ,yes
" I really said it earlier, I will make up the price difference later, or just shoot it at ten o'clock. How many people are there after two minutes? ",yes
 Dates are a pound Sold in a bag,yes
"Then you said that there are five jins in five bags, right? ",yes
" Okay, please ship it as soon as possible so that my parents can receive it earlier. ",yes
 Click to get it directly. ,yes
 Hello. What's the difference between these cheap cotton towels,yes
Are you there. ,yes
" Is there any express delivery. In addition to EMS, the other 2 couriers are not specified. ",yes
 Can it be shipped today. ,yes
"I bought this, do you have any small gifts. ",yes
 I think you have the same price when you have an event. ,yes
 538872953711 Is it a new walnut. ,yes
" Cancel and re-add a pair of socks and shoot again, you say no",yes
 Small red sandalwood tea needle 100 Small black sandalwood tea knife 100. ,yes
 How about the discount when I buy 6 packs. ,yes
 Are you sure this has a gift box?,yes
 pure cotton? It's a centimeter. ,yes
 What gifts are there? ,yes
" Dear, are your walnuts in a five-pound bag?",yes
 Can I buy ten jins and pack them separately. ,yes
 can only help you to send out as soon as possible. The order volume is large.,yes
" I want a box of dry towels, I will try it because I use the cotton era, I will see if this dry towel can wipe my face. ",yes
 Watermelon seeds are more delicious. ,yes
 Oh buy a pack. ,yes
 Is there a tea tray that has been removed. ,yes
 Can you give me another discount for the last 15 I bought. ,yes
" I've heard a few times that they will take the food and eat it for themselves, as long as the package is slightly damaged. ",yes
" Is my item shipped? If I haven't, I don't dare to rhyme. ",yes
 The guest can take pictures directly. ,yes
 Add a bag of dried plums. ,yes
 How many bags of dried mango and dried strawberry are required. ,yes
 Mango How much is a bag of dry 3 bags of strawberries. ,yes
 Are there any other things for two servings. ,yes
Is there a discount? Can I be an agent? Is there a discount? ,yes
" 32 copies. I saw 2 orders here, you can give me the order number here, I will see your 2 orders here. ",yes
 Send it by post and I will change the address. ,yes
 This one will send 5 packs of which kind. ,yes
What are the advantages of non-woven fabrics? It should be better than pure cotton. ,yes
" If I place an order now, what will we send? Express delivery. ",yes
" Because I want to receive the goods and taste the taste, I will repurchase before the Dragon Boat Festival, so you can arrange the delivery as soon as possible, thank you . ",yes
 I would like to ask how many days I can place an order tonight to get to Weifang. ,yes
 I bought this quality from you years ago and the last time It's the same. ,yes
" Well, I just placed the order and when will it start shipping. ",yes
"Can the dumplings still be delicious? They can be vacuum-packed and can also be delivered. It's a little slow. Except for one meat dumpling, I didn't eat much meat. The rest is pretty good. ",yes
" The first three addresses each have four bags, thank you. ",yes
 What kind of tea knife is suitable for Pu'er Garden Cake,yes
 Do you have a link to the tea needle? ,yes
 Are you there? brown,yes
 528105689823 Why the price is different and the quantity is the same. ,yes
 Do I buy the top 500 now. ,yes
" The postman said that you have two single numbers, one big and one small. Just sent me a box",yes
" Hello, where do I have to send the mail. I ordered eight packs and send me four packs. ",yes
I hope I can send another one. ,yes
 Let's pack the cream first. Now shoot it and ship it today. ,yes
" Hurry up, it's his birthday today. Okay, I will help you to send it today as soon as possible. I wish him a happy birthday. ",yes
 Thank you. Please send it today. ,yes
 How can you delete the urgent payment I took that didn't come. ,yes
 Is this easy to use. ,yes
 Boss. Is there anything I can help you with? ,yes
 Can I ship it today? How is the information 4 brown 4 duck eggs. ,yes
Isn't this so light a wet paper towel? ,yes
 You can rest assured that the little er eats it with his hands. ,yes
 How much is it. ,yes
"Yes, how many can I hold a pound. ",yes
 Can this baby be used as a sanitary napkin in the underwear. ,yes
" The tea knives are all large, not smaller? They are too big and inconvenient to pack. ",yes
I can only take one catty. You said it is only limited to one catty if I didn't see it today. ,yes
 can only take 1 bag. ,yes
 I did activities every few days ago. ,yes
" This is pure cotton, maybe there is a bigger soft cotton. ",yes
 I'll buy a few more packs for a cheaper price. ,yes
 Can I send it immediately if I take it now. ,yes
 I bought a lot of yours and I will send some gifts. ,yes
I also introduced my friend to buy it. ,yes
Do you still get wet wipes if you buy two now? ,yes
 or 199 three bags. I want to buy 4 bags of dried mangoes and 2 bags of dried strawberries. ,yes
 I just want to ask if there are any gift bags to take I don't have a gift bag for ,yes
What can I do to help you here. ,yes
 I bought it in someone else's store and it arrived in a day or two. You should arrive today. ,yes
 Can I ship my mango karaoke first without changing it. ,yes
 Can you help me with a refund? I want to buy a smaller one and use it quickly. ,yes
 Do I need to pay a deposit in advance to participate in the event? ,yes
 Can I add or reduce the items in the shopping cart? How can I make a prepayment of 10 yuan? Yes. ,yes
 Can it be shipped today. ,yes
 44265219693 Is this a wet wipe? ,yes
 Is green the best?,yes
 I opened it and drank it with a strong flavor. ,yes
 What is the situation? Goods. ,yes
Is it the new walnut this year? ,yes
 What is the express delivery? ,yes
 Did I place an order? 545468795743 Please help me change my mobile number. ,yes
 Juicing is cost-effective. ,yes
 Then buy 12 packs for a total of 1198 or minus 10 yuan for 1098. ,yes
 There are more orders during the time of Juhuasuan. I am afraid that the things will not be replaced when the location is moved. ,yes
 I have received the goods for more than 1 week and can't have freight insurance. Dear. ,yes
 Why do I still need postage. ,yes
" Hello, I will not refund. Priority delivery. ",yes
 cotton swabs buy 2 get 1 free?,yes
" I will give you the feedback at that time, and then you will tell me in advance when you buy it next time. ",yes
" I bought it again that day I forgot to mention that this time I remembered to tell you, but you said that there are no other couriers, but the postal service is really far away from my house, so it's troublesome. ",yes
 How can I apply. ,yes
How come the price of this has increased. ,yes
" 489199 = 688 Right, what kind of express did you send. ",yes
 There is shipping insurance. ,yes
" Zhanjiang, Guangdong. Oh, send it as soon as possible. ",yes
 I haven't received it yet. Hurry up and find out. I found your customer service yesterday and didn't reply. ,yes
 Can it be cheaper? What's the difference. ,yes
 There are discounts and then buy more. ,yes
 Why does the cotton soft towel I bought this time have a strange smell. ,yes
 Is there anyone? ,yes
" Oh, can I still get a discount?",yes
Can the customer at  be able to help you? . ,yes
" I got a 5 yuan coupon, how can I use it at night. ",yes
 The price of the order has been changed and can be paid. ,yes
 Can you give me a cheaper price? I have already bought it many times. It's so good. ,yes
 Is it possible to shoot at any time throughout the day on May 4th. ,yes
 The warehouse here is already packed. ,yes
Can your walnuts still be discounted? ,yes
" How much do you want to buy, dear. ",yes
 It should be available today and tomorrow. ,yes
Can I buy free shipping with other paper. ,yes
 I mean is it still for sale. ,yes
 Can you send by post?,yes
 What is the difference between this and the yellow packaging. ,yes
 Can the postage be waived. ,yes
I still ship it now. ,yes
 528105689823 The difference between these two models is. ,yes
Which one is easier to use for the baby. ,yes
 or the original flavor is healthier. ,yes
" 538872953711 Hello, may I ask if there is a discount for this if you buy more? 538872953711 Can you send Zhongtong?",yes
 Is it in stock. ,yes
" Can you see the order I just placed, please help me with the postal service. ",yes
Let me know about the tea knife and tea needle. ,yes
 Last time I bought you a Pu'er tea knife and gave it to a friend. Would you like to buy two to get a discount? ,yes
" Oh, can you help me find a perfect one Well, I'll order 100 flat heads later. ",yes
 I just took 100 last time and 100 this time. 100 roots. ,yes
 Did the price go up? ,yes
 Can this be sold for 38 knots now. ,yes
 Both of these are pure cotton.,yes
"Can't send it in the past two days? If I can't send it, I will refund it. ",yes
 I will help you to remind me today. ,yes
 This has been active for a long time. 538832022583. ,yes
 Is it still shipped from your home. ,yes
 Then have you sent my snacks to try. ,yes
 96 Is it a bag? Several bags of what flavors are free shipping. ,yes
 Can you choose one of the three flavors?,yes
 Can you help me send Zhongtong. ,yes
 Is there no waxing additive? ,yes
 Do you have any dry towels? Designated courier other than the default courier. ,yes
 Can I change the courier address?,yes
" Yes, I can't buy any more. ",yes
 How much do you want to buy? Can you choose?,yes
I refused to sign and apply for a refund. The postal issue has no way to intercept it. ,yes
 Do you want to buy a thin 399 in summer. ,yes
 Is there no blue? It's a baby boy. ,yes
 There is no news about the courier. ,yes
" Okay, okay I can only do my best. If there is no stock, I can only punish you after the year.",yes
 Yes When will it be shipped. ,yes
 2016 Anji white tea 50g will arrive before tomorrow. ,yes
" No refund yet. Okay, may I ask how many are in this pack? ",yes
What is the price? ,yes
 I want to buy wet wipes. Is the price out? ,yes
 Is it in stock now? Oh. ,yes
" What's the difference between 20 Ã— 10 and 20 Ã— 14, just the size is different. ",yes
 How thick is a pack of 25 pieces. ,yes
 is a third thinner than this single pump. ,yes
You can pay the balance on the 20th if you make a deposit on the page. ,yes
 Can I buy this. ,yes
 Can I buy walnuts for delivery. ,yes
 How much do you want to buy? ,yes
 When will it be? ,yes
 Pro receive the coupon to use. ,yes
 What is in stock and can be spelled together. ,yes
 Will it be shipped today. ,yes
 Let's determine the engraved sample first. ,yes
 And the coaster is too small. ,yes
" I bought a cotton soft towel and opened it, only to find out that the baby who is not 100% cotton has allergies and can it be refunded. ",yes
 What can I do to help you? ,yes
 Don't you send a gift box? ,yes
 It is recommended to use a small size. ,yes
"Wait a minute, the guest officer, let me take a look here. ",yes
 I changed a pot twice and cried. ,yes
 Where is the store. ,yes
Why haven't my goods been sent yet. ,yes
 is 5 jin? What does the green bag taste like. ,yes
 The one that can be replaced with cream is delicious. ,yes
 Why didn't it ship today. ,yes
" Huitong and Post are familiar with me, they don't need to call and send it directly to me You and I can save trouble. ",yes
 You have already ordered and shipped. ,yes
 Why do you have pineapples. ,yes
 I misread what I want is dried pineapple,yes
 What is the product you bought. ,yes
 The logo is not right. The right side. ,yes
 Can the ticket increase in Shanghai be opened 528690173109. ,yes
526100,yes
 How did I buy the tea knife and sent it on a shelf. ,yes
" Well, when will it be shipped. ",yes
 Gifts are all to be sent. ,yes
 How many zongzi in a bag. ,yes
 When will the tea knife and tea needle I photographed be shipped. ,yes
